wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,defects
5,3,14,19,15,4,15,4,3,0.75,53,1,0,0.980392157,0.5,1,3,9.2,3,1.2,0
2,3,0,4,8,1,0,4,1,2,18,0,0,0.971428571,0.666666667,1,2,8,1,0.5,0
6,1,0,4,7,3,3,1,6,0.75,41,1,1,0,0.366666667,0,0,5.166666667,1,0.8333,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
13,1,0,34,71,22,3,34,9,0.783333333,247,1,3,0,0.333333333,0,0,17.61538462,1,0.8462,0
1,1,0,6,1,0,4,2,1,2,1,0,0,0,1,0,0,0,1,1,0
6,1,0,2,15,15,0,2,5,2,44,0,0,0,0.333333333,0,0,6.333333333,1,0.8333,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,8,8,1,2,7,2,2,31,0,0,0.952380952,0.625,0,0,14.5,2,1,1
3,1,0,4,9,3,1,3,3,2,21,0,0,0,0.533333333,0,0,6,1,0.6667,1
6,3,0,7,17,0,1,7,3,0.5,62,1,1,0.814814815,0.458333333,1,1,9,1,0.8333,0
7,3,0,10,22,0,2,10,2,0.733333333,88,1,3,0.814814815,0.3,1,1,10.85714286,1,0.7143,0
1,1,0,8,1,0,7,1,1,2,1,0,0,0,1,0,0,0,1,1,0
9,1,0,7,24,30,1,7,5,0.71875,96,1,0,0,0.375,0,0,9.222222222,1,0.6667,0
9,1,0,6,34,10,1,5,8,0.5,185,0.666666667,0,0,0.333333333,0,0,19.22222222,4,1.8889,0
21,1,0,22,49,160,3,20,21,0.875,280,1,6,0,0.12244898,0,0,11.85714286,6,1.381,1
12,3,0,13,30,50,1,13,9,0.318181818,145,1,1,0.620689655,0.333333333,1,1,10.91666667,2,1,0
5,1,0,0,7,2,0,0,5,0.625,29,0.5,0,0,0.466666667,0,0,4.4,1,0.8,0
14,3,0,17,32,69,5,16,14,0.653846154,142,1,2,0.710526316,0.2,0,0,9,2,0.8571,0
8,0,2,8,22,26,3,5,1,0.857142857,108,1,0,0,0.4,0,0,12.375,5,1.875,0
3,5,2,6,6,3,5,1,3,1.5,17,1,0,1,0.777777778,0,0,4.333333333,0,0,0
13,2,0,12,24,12,5,10,13,0.583333333,97,1,0,0.676470588,0.282051282,0,0,6.307692308,3,1,0
3,2,0,1,5,3,0,1,3,2,12,0,0,0.956521739,0.666666667,1,2,3,1,0.3333,0
1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,0
8,3,0,12,28,6,3,10,5,0.571428571,111,1,1,0.807692308,0.333333333,0,0,12.625,4,1.25,2
18,1,0,16,45,85,3,15,13,0.838235294,258,1,3,0,0.165775401,0,0,12.88888889,5,1.4444,0
2,1,0,4,5,0,1,3,2,0,17,1,0,0,0.666666667,0,0,7,1,0.5,0
22,1,0,21,40,225,11,20,22,0.936507937,114,1,3,0,0.181818182,0,0,4.045454545,1,0.9545,0
4,0,0,3,5,4,1,3,4,0.666666667,22,1,1,0,0.5,0,0,4.25,1,0.75,0
8,1,1,14,66,8,2,12,2,0.75,380,0.75,1,0,0.321428571,0,0,46,11,2.125,1
6,3,0,8,32,0,2,8,1,0.666666667,161,1,1,0.846153846,0.36,1,1,25.33333333,6,1.5,0
12,3,0,13,26,44,3,10,8,0.727272727,121,1,2,0.666666667,0.233766234,1,1,8.75,2,0.8333,0
3,1,0,19,3,3,17,3,3,2,3,0,0,0,0.5,0,0,0,1,1,1
11,1,0,13,24,39,5,12,11,0.8,101,1,4,0,0.272727273,0,0,7.818181818,1,0.9091,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,1,0,6,2,1,6,0,2,2,2,0,0,0,1,0,0,0,1,1,0
12,4,2,21,20,54,12,11,7,0.545454545,83,1,1,0.823529412,0.333333333,0,0,5.833333333,1,0.5,0
1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,0
15,3,7,13,33,79,7,6,11,0.816326531,163,1,0,0.647058824,0.205357143,1,1,9.4,2,0.8667,0
24,1,0,23,44,270,11,22,24,0.913043478,133,1,3,0,0.1625,0,0,4.416666667,1,0.9583,0
4,2,0,11,12,2,1,11,3,0.444444444,61,1,0,0.625,0.45,1,2,13.5,1,0.75,0
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0
5,4,0,8,12,10,3,5,5,2,28,0,0,0.974522293,0.6,1,1,4.6,1,0.8,0
5,3,0,7,16,4,1,7,3,0.75,61,1,0,0.918918919,0.4375,1,1,10.8,1,0.6,0
2,1,0,4,2,1,2,2,2,2,2,0,0,0,0.625,0,0,0,1,1,0
1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,0
2,3,0,3,4,1,1,3,1,2,12,0,0,0.971428571,0.666666667,1,1,4.5,1,0.5,0
3,1,0,6,9,3,2,4,2,2,19,0,0,0,0.333333333,0,0,5.333333333,1,0.6667,0
9,3,0,7,17,24,1,7,6,0.40625,131,1,2,0.684210526,0.333333333,0,0,13.11111111,1,0.6667,0
2,3,0,3,4,1,1,3,1,2,12,0,0,0.971428571,0.666666667,1,1,5,1,0.5,0
6,2,0,2,11,9,1,1,6,0.2,45,1,0,0.5,0.416666667,0,0,6.333333333,2,0.8333,0
10,2,14,27,19,3,23,4,7,0.111111111,81,1,1,0.619047619,0.5,1,1,7,1,0.8,0
6,3,0,7,19,9,3,6,4,0.6,68,1,0,0.875,0.375,2,4,10.16666667,2,1,0
4,3,0,5,8,4,0,5,3,0.666666667,29,1,0,0.944444444,0.4,1,1,6,1,0.5,0
3,1,0,6,8,3,2,4,2,2,23,0,0,0,0.5,0,0,6.666666667,1,0.6667,0
2,1,0,1,2,1,1,0,2,2,2,0,0,0,1,0,0,0,1,1,0
2,5,0,4,8,0,1,4,2,0,22,1,1,0.95,0.666666667,0,0,9.5,1,0.5,0
4,1,0,0,8,6,0,0,3,2,19,0,0,0,0.5,0,0,3.75,1,0.75,0
6,1,0,11,39,9,1,10,3,0.4,189,1,0,0.428571429,0.333333333,0,0,30.33333333,5,1.3333,0
1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,1,1,0
3,1,0,3,7,0,1,2,3,0,21,1,0,0,0.666666667,0,0,5.666666667,1,0.6667,0
10,2,7,17,26,31,11,6,6,0.666666667,156,1,1,0.222222222,0.266666667,0,0,14.4,3,1.2,1
2,1,0,5,2,1,4,1,2,2,2,0,0,0,0.75,0,0,0,1,1,0
4,3,0,5,6,0,1,4,3,0.333333333,21,1,0,0.75,0.5,1,1,4,1,0.75,0
4,1,0,2,16,0,2,0,4,0.333333333,92,1,0,0,0.75,0,0,21.25,4,1.5,0
1,3,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,0
42,1,14,27,78,809,16,11,33,0.909756098,489,1,7,0,0.118466899,0,0,10.4047619,4,1.5238,1
1,1,0,4,1,0,2,3,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,5,1,0,2,3,1,2,1,0,0,0,1,0,0,0,1,1,0
15,4,0,15,37,1,3,13,14,0.535714286,209,1,1,0.916167665,0.20952381,1,1,12.8,2,1.0667,3
8,1,0,2,28,0,1,1,8,0.142857143,146,1,0,0,0.4,0,0,17,4,1.5,0
5,3,0,6,15,0,1,5,4,0.375,50,1,1,0.84,0.333333333,2,6,8.6,2,1,2
13,2,0,16,27,36,9,11,10,0.880952381,119,1,3,0.541666667,0.185185185,1,1,7.615384615,2,0.9231,0
3,2,0,3,11,1,1,2,2,0.5,34,1,0,0.857142857,0.666666667,1,1,10,1,0.6667,0
17,1,0,31,91,100,5,26,7,0.7265625,741,1,3,0,0.275,0,0,42.11764706,10,2.8235,7
7,4,0,11,16,21,4,7,7,2,45,0,0,0.975308642,0.392857143,3,4,5.428571429,1,0.5714,1
4,1,0,2,12,6,0,2,3,2,37,0,0,0,0.5625,0,0,8.25,2,1,0
2,0,0,3,6,1,0,3,2,2,14,0,0,0,0.666666667,0,0,6,1,0.5,0
5,1,0,2,10,8,0,2,5,0.5,57,1,0,0,0.3,0,0,10.2,2,1,0
8,6,0,13,37,18,1,13,6,0.619047619,161,1,1,0.85106383,0.25,0,0,18.75,1,0.875,0
2,2,0,7,9,1,0,7,2,2,48,0,0,0.666666667,0.6,1,1,23,4,2,0
15,2,0,21,48,73,2,20,10,0.755102041,243,1,4,0.5,0.214285714,1,1,14.73333333,6,1.2667,0
4,1,0,7,16,4,1,6,2,0.333333333,68,1,0,0,0.5,0,0,15.75,1,0.5,0
19,3,0,31,83,99,5,31,10,0.814814815,500,0.888888889,5,0.540540541,0.212962963,1,1,24.84210526,9,1.5263,0
6,3,0,3,9,13,0,3,4,0.4,34,1,0,0.782608696,0.375,1,1,4.5,2,1,1
19,2,0,9,20,159,4,7,15,0.666666667,105,1,1,0.703703704,0.233082707,1,3,4.473684211,1,0.8421,0
6,1,1,6,12,0,1,5,6,0,39,1,1,0,0.30952381,0,0,5.333333333,1,0.8333,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
26,1,15,42,51,279,32,10,21,0.792,326,1,3,0,0.205128205,0,0,11.34615385,3,1.1923,0
3,0,0,5,18,3,2,3,3,2,65,0,0,0,0.416666667,0,0,20.66666667,4,1.6667,0
2,1,0,53,2,1,53,0,2,2,2,0,0,0,0.833333333,0,0,0,1,1,0
3,1,0,9,8,1,4,5,3,0,26,1,1,0,0.5,0,0,7.333333333,1,0.3333,1
41,1,0,6,54,516,5,1,41,0.875,507,0,0,0,0.297560976,0,0,10.95121951,1,0.9268,0
23,3,0,7,34,137,3,6,21,0.772727273,230,1,0,0.660377358,0.402173913,2,6,8.782608696,4,0.9565,0
4,6,0,12,16,0,1,12,2,0.583333333,109,1,1,0.921052632,0.4,1,1,25.25,2,1,0
9,4,0,13,46,0,1,13,3,0.34375,310,1,1,0.766666667,0.232142857,1,1,33,1,0.7778,0
15,2,0,10,32,81,1,9,15,0.535714286,119,1,1,0.176470588,0.177777778,0,0,6.8,1,0.9333,0
3,3,0,4,8,3,1,4,2,1.5,30,0,0,0.971428571,0.5,1,2,8.333333333,1,0.3333,5
18,3,0,8,43,63,1,8,14,0.411764706,260,1,0,0.68627451,0.277777778,2,7,13.38888889,4,1.3333,0
2,5,0,4,7,0,2,2,2,0,23,1,0,0.95,0.666666667,0,0,10,1,0.5,0
8,2,0,6,28,0,1,5,5,0.142857143,183,1,0,0.333333333,0.404761905,1,2,21.75,3,1.625,0
11,1,3,13,16,41,11,2,10,0.84,93,0.6,1,0,0.327272727,0,0,7,1,0.8182,0
5,3,0,13,20,8,1,12,2,0.5,66,1,0,0.931034483,0.472222222,0,0,12,1,0.4,0
4,2,0,2,6,4,1,1,4,0.333333333,24,1,0,0.916666667,0.75,1,2,4.75,1,0.5,1
4,1,0,7,8,0,2,5,4,0,31,1,1,0,0.4375,0,0,6.5,1,0.75,2
2,2,0,8,8,1,0,8,2,2,56,0,0,0.666666667,0.6,1,1,27,6,3,0
3,1,0,4,9,0,1,3,3,0,27,1,1,0,0.555555556,0,0,7.666666667,1,0.6667,0
2,1,0,3,3,1,3,1,2,2,7,0,0,0,0.666666667,0,0,2.5,1,0.5,0
12,0,1,40,73,28,1,39,9,2,566,0,0,0,0.256944444,0,0,46.16666667,6,2.0833,0
1,2,0,7,4,0,3,5,1,2,12,0,0,1,1,0,0,11,0,0,1
9,2,0,6,13,30,1,5,8,0.625,59,1,0,0.785714286,0.518518519,1,4,5.333333333,2,0.7778,1
3,5,0,1,9,0,0,1,3,0.5,33,1,0,0.894736842,0.555555556,0,0,9.333333333,1,0.6667,0
3,1,0,4,19,3,4,0,2,1.5,201,0,0,0,0.333333333,0,0,61.33333333,9,5.6667,0
10,4,0,5,20,23,1,4,8,0.444444444,121,1,1,0.950310559,0.35,1,2,10.9,3,1.2,0
30,1,0,13,73,347,1,12,27,0.668965517,380,1,2,0,0.114285714,0,0,11.5,3,1.0333,0
3,1,0,2,15,3,2,0,2,2,91,0,0,0,0.444444444,0,0,29.33333333,7,3.3333,1
2,3,0,7,5,0,2,7,2,0.666666667,27,0.666666667,0,0.952380952,0.6,0,0,11,1,0.5,0
3,1,0,16,3,3,14,2,3,2,3,0,0,0,0.666666667,0,0,0,1,1,0
4,2,0,4,7,4,3,1,2,0.958333333,100,0.125,8,0.857142857,0.444444444,1,1,22,1,0.5,0
1,1,0,262,1,0,261,1,1,2,1,0,0,0,1,0,0,0,1,1,0
5,4,0,7,14,10,1,6,5,2,34,0,0,0.98136646,0.466666667,2,4,5.8,1,0.6,1
1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,0
23,3,0,18,60,191,4,16,18,0.850649351,312,1,1,0.807692308,0.202020202,1,5,12.26086957,2,0.913,0
4,1,0,6,24,4,1,5,2,0.666666667,121,1,0,0,0.4,0,0,29,6,2.25,2
15,1,0,3,59,105,3,1,13,2,519,0,0,0,0.28,0,0,33.6,5,1.5333,1
6,1,0,7,8,11,1,6,6,0.8,28,1,1,0,0.416666667,0,0,3.333333333,1,0.8333,0
7,1,0,9,12,21,3,6,7,2,35,0,0,0,0.476190476,0,0,4,1,0.8571,0
2,4,0,7,5,0,4,3,1,0,30,1,0,0.952380952,0.666666667,1,1,13.5,2,1,0
3,2,0,1,5,3,0,1,3,2,12,0,0,0.956521739,0.666666667,1,2,3,1,0.3333,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
2,1,0,26,2,1,26,0,2,2,2,0,0,0,1,0,0,0,1,1,0
5,0,2,9,22,10,2,7,1,2,145,0,0,0,0.5,0,0,28,4,1.8,0
2,1,0,6,6,0,1,5,2,0,22,1,0,0,0.6,0,0,9.5,1,0.5,0
24,3,0,17,48,250,12,8,19,0.881987578,238,1,2,0.290322581,0.223602484,0,0,8.625,3,1.1667,0
19,2,2,12,47,83,2,10,12,0.855555556,297,0.8,4,0.433333333,0.1875,1,1,14.10526316,2,1.0526,6
2,4,0,3,5,1,0,3,1,2,12,0,0,0.972222222,0.666666667,1,1,5,1,0.5,0
2,4,0,3,5,0,0,3,1,0,13,1,0,1,1,0,0,5,0,0,1
2,3,0,4,4,1,0,4,1,2,9,0,0,0.916666667,0.75,1,1,3.5,1,0.5,0
2,1,0,5,6,0,0,5,2,0,30,1,2,0,0.625,0,0,13,1,0.5,0
5,3,0,10,24,0,2,10,1,0.5,119,1,2,0.88,0.4375,1,1,22.2,3,1,0
2,3,0,5,4,1,1,4,1,2,9,0,0,0.9,0.75,1,1,3.5,1,0.5,0
3,0,0,7,11,1,1,6,2,0.5,48,1,0,0,0.75,0,0,14.66666667,1,0.3333,0
13,1,0,176,13,78,171,7,13,2,13,0,0,0,0.243589744,0,0,0,1,1,2
8,1,0,4,20,26,0,4,7,0.714285714,83,1,1,0,0.25,0,0,9.25,2,1,0
6,1,0,10,26,15,1,9,1,2,112,0,0,0.545454545,0.541666667,1,2,17.66666667,4,1.6667,0
11,3,0,4,32,0,0,4,10,0.5,114,1,0,0.571428571,0.366666667,0,0,9.181818182,1,0.8182,0
2,1,0,4,4,1,1,3,2,2,9,0,0,0,1,0,0,3.5,1,0.5,0
20,3,0,13,69,128,5,10,14,0.719298246,425,1,1,0.68627451,0.190789474,2,5,20.1,4,1.45,0
2,1,0,0,7,1,0,0,1,2,22,0,0,0,0.5,0,0,10,2,1,0
23,1,0,22,40,247,11,21,23,0.924242424,118,1,3,0,0.178743961,0,0,4,1,0.9565,0
15,1,0,5,32,33,3,2,14,0.595238095,210,1,0,0,0.226190476,0,0,12.6,3,1.1333,0
4,3,0,2,7,4,2,0,4,2,34,0,0,0.882352941,0.625,1,3,7.5,2,0.75,0
4,3,0,6,14,0,4,2,4,0,52,1,0,0.875,0.4375,0,0,11.75,2,1,0
5,1,0,0,6,6,0,0,5,0.75,24,1,0,0,0.466666667,0,0,3.4,1,0.8,0
49,1,0,14,109,1164,9,5,48,0.925,711,0.6,0,0,0.109068627,0,0,13.40816327,2,1,0
2,5,2,6,4,1,4,2,2,2,13,0,0,1,0.875,0,0,5.5,0,0,0
6,4,0,8,16,15,2,6,6,2,39,0,0,0.98136646,0.375,2,3,5.5,1,0.5,1
3,1,0,0,6,3,0,0,3,2,12,0,0,0,0.833333333,0,0,3,1,0.6667,0
2,1,0,5,5,1,1,5,2,2,15,0,0,0,0.625,0,0,6.5,1,0.5,0
1,1,0,10,1,0,10,0,1,2,1,0,0,0,1,0,0,0,1,1,0
12,3,0,5,20,62,1,5,11,0.636363636,79,1,0,0.943396226,0.354166667,1,2,5.416666667,2,0.8333,3
29,1,0,14,29,406,8,6,29,2,29,0,0,0,0.37164751,0,0,0,1,1,3
16,5,0,11,30,94,2,9,13,0.833333333,146,1,1,0.755555556,0.291666667,1,1,7.875,2,0.75,0
11,0,0,14,22,29,0,14,11,0.82,101,1,2,0,0.340909091,0,0,7.727272727,1,0.9091,0
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0
3,1,0,1,41,3,0,1,1,2,221,0,0,0,0.333333333,0,0,72.66666667,1,0.6667,0
8,3,0,10,47,20,1,10,5,0.642857143,250,1,1,0.769230769,0.285714286,0,0,30,6,1.5,2
9,1,0,3,20,12,2,1,7,0.625,100,1,0,0,0.541666667,0,0,9.777777778,4,1.2222,0
1,1,0,9,1,0,4,5,1,2,1,0,0,0,1,0,0,0,1,1,0
4,1,0,4,10,0,1,3,4,0,37,1,0,0,0.583333333,0,0,8,1,0.75,0
12,3,10,19,24,30,12,8,10,0.5,114,1,1,0.949367089,0.226190476,1,3,8.333333333,2,0.8333,0
14,3,0,21,43,59,9,13,13,0.641025641,208,1,1,0.925925926,0.261538462,1,2,13.64285714,3,1.1429,0
4,4,8,12,10,0,10,2,3,0.833333333,39,1,1,0.894736842,0.625,0,0,8.25,1,0.5,0
3,4,0,8,15,3,0,8,1,2,49,0,0,0.948717949,0.666666667,2,2,15.33333333,1,0.6667,0
3,3,0,4,7,3,1,4,2,2,23,0,0,0.971428571,0.5,1,2,6.666666667,1,0.3333,0
1,1,0,3,1,0,3,0,1,2,1,0,0,0,1,0,0,0,1,1,0
21,4,0,19,86,156,3,18,15,0.84375,407,1,1,0.677419355,0.210884354,2,3,18,3,1.0476,0
8,1,0,7,32,28,0,7,4,2,237,0,0,0,0.625,0,0,28.625,11,3,1
8,1,0,24,20,22,21,3,6,0.571428571,176,1,0,0,0.25,0,0,20.875,1,0.75,0
2,1,0,6,2,1,5,2,2,2,2,0,0,0,1,0,0,0,1,1,1
6,1,0,7,7,15,2,5,6,2,14,0,0,0,0.333333333,0,0,1.333333333,1,0.8333,0
7,2,1,2,8,9,1,1,7,0.666666667,40,1,0,0.333333333,0.642857143,0,0,4.428571429,2,1.1429,0
4,1,0,7,8,6,0,7,3,2,22,0,0,0,0.375,0,0,4.5,1,0.75,0
9,3,0,8,24,16,3,8,7,0.125,108,1,1,0.85,0.333333333,2,3,10.88888889,1,0.6667,0
23,2,0,13,49,201,2,13,21,0.918181818,266,1,0,0.534883721,0.176767677,1,1,10.13043478,1,0.8696,1
8,4,0,15,19,28,4,15,7,2,73,0,0,0.863636364,0.3125,0,0,8.125,1,0.75,0
3,1,2,8,16,3,2,6,2,2,96,0,0,0,0.533333333,0,0,31,3,1.6667,0
10,4,0,6,27,5,1,5,8,0.527777778,168,1,2,0.740740741,0.25,2,2,15.4,3,1.1,0
8,2,0,7,33,26,0,7,1,0.571428571,415,1,0,0.588235294,0.390625,1,1,50.75,8,3.625,0
3,1,0,16,7,3,11,5,3,2,47,0,0,0,0.416666667,0,0,14.66666667,5,2.3333,0
1,0,0,6,4,0,4,2,1,2,9,0,0,0,1,0,0,8,0,0,0
6,2,2,6,12,0,2,4,4,0,38,1,0,0.722222222,0.666666667,1,1,5.166666667,1,0.8333,0
25,1,0,149,25,300,141,12,25,2,25,0,0,0,0.18,0,0,0,1,1,6
22,3,0,22,67,145,6,19,16,0.861904762,434,0.7,5,0.486486486,0.155844156,1,1,18.27272727,13,1.5455,13
5,0,1,8,20,0,2,6,3,0,73,1,0,0,0.5,0,0,13.4,1,0.8,0
7,2,0,6,21,9,1,5,4,0.75,83,1,2,0.923076923,0.333333333,0,0,10.28571429,2,0.8571,0
3,5,0,3,9,0,2,1,3,0,44,1,0,0.944444444,0.666666667,0,0,13.33333333,1,0.3333,0
7,1,0,9,14,11,3,6,7,0.444444444,61,1,2,0,0.4,0,0,7.285714286,1,0.5714,0
26,3,0,18,56,263,11,9,24,0.776,278,1,2,0.867052023,0.146853147,1,2,9.5,3,1.0769,10
7,3,0,8,23,19,0,8,7,0.5,118,1,0,0.894736842,0.342857143,0,0,15.71428571,4,1.5714,0
27,3,0,29,60,245,16,17,24,0.835164835,348,1,1,0.867052023,0.169230769,1,6,11.62962963,3,1.0741,0
38,2,0,21,63,617,4,21,36,0.926640927,358,1,1,0.396551724,0.144963145,1,1,8.052631579,2,0.9474,0
17,1,1,15,45,46,7,8,16,0.395833333,444,1,2,0,0.294117647,0,0,24.94117647,8,2.2941,1
5,3,0,8,19,0,1,7,4,0.625,56,1,1,0.913043478,0.5,0,0,9.8,1,0.4,1
8,2,6,12,16,22,6,6,3,0.571428571,55,1,0,0.851851852,0.333333333,0,0,5.75,2,0.625,0
12,1,0,28,61,0,2,27,11,0.454545455,392,1,2,0,0.25,0,0,31.25,9,1.9167,0
24,2,0,10,83,132,3,8,14,0.882352941,596,0.705882353,0,0.371428571,0.193236715,1,1,23.125,8,1.4167,0
5,1,0,12,5,10,9,4,5,2,5,0,0,0,0.366666667,0,0,0,1,1,0
5,3,0,9,9,4,2,9,2,0.75,36,1,1,0.869565217,0.3,0,0,5.6,1,0.6,0
3,2,0,1,5,3,0,1,3,2,12,0,0,0.956521739,0.666666667,1,2,3,1,0.3333,0
8,2,0,10,27,14,2,10,4,0.714285714,120,1,0,0.793103448,0.291666667,0,0,13.625,1,0.75,0
2,1,0,8,2,1,6,2,2,2,2,0,0,0,0.666666667,0,0,0,1,1,0
9,1,0,11,56,36,4,9,3,2,268,0,0,0,0.272727273,0,0,28.77777778,3,1.1111,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7,3,0,8,18,21,2,6,4,2,66,0,0,0.882352941,0.326530612,0,0,8.428571429,2,0.7143,1
11,1,0,12,43,49,1,11,1,0.7,197,1,0,0.470588235,0.4,1,4,16.81818182,9,1.6364,0
17,3,0,9,35,100,2,8,11,0.822916667,180,1,3,0.567567568,0.227941176,1,1,9.235294118,3,1.2353,0
11,3,0,5,16,51,2,4,11,0.85,77,0.5,0,0.949367089,0.484848485,1,2,5.636363636,1,0.7273,0
6,1,0,6,7,9,1,5,6,0.6,25,0,0,0,0.375,0,0,3,1,0.8333,0
3,1,0,16,34,3,3,13,2,1.041666667,461,0.083333333,0,0,0.666666667,0,0,148.6666667,4,2,1
9,3,0,4,12,30,1,4,9,0.25,50,1,0,0.833333333,0.555555556,2,5,4.444444444,1,0.7778,1
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,1,1,0
2,2,0,6,3,0,2,4,2,0,14,1,0,0.974358974,0.625,0,0,5.5,1,0.5,0
15,2,0,20,30,97,5,19,13,0.785714286,120,1,1,0.638888889,0.192592593,0,0,6.866666667,2,1,0
15,1,0,11,42,105,10,1,14,2,214,0,0,0,0.2,0,0,13.26666667,4,2.4667,2
48,2,1,27,122,972,11,25,37,0.91607565,855,1,1,0.220338983,0.098784195,1,1,16.4375,4,1.3958,0
2,1,0,3,5,1,3,2,2,2,17,0,0,0,0.666666667,0,0,7.5,2,1,0
14,1,0,6,18,61,2,5,14,0.830769231,81,1,5,0,0.297619048,0,0,4.428571429,1,0.9286,0
18,1,0,9,44,85,1,8,10,0.739495798,242,1,2,0,0.205882353,0,0,12.05555556,5,1.3889,2
4,4,17,60,8,6,60,0,4,1.333333333,21,1,0,1,0.666666667,0,0,4,0,0,0
6,1,0,4,10,1,2,2,6,0.6,50,1,1,0,0.5,0,0,7,2,1.1667,0
5,2,0,7,14,2,2,6,3,0.625,60,1,0,0.555555556,0.44,1,2,10.6,1,0.8,0
18,2,0,7,35,0,3,4,15,0.638655462,315,1,0,0.523809524,0.263888889,1,1,16.11111111,3,0.7778,2
4,3,0,9,12,0,5,4,4,0,41,1,1,0.875,0.4375,0,0,9,1,0.75,0
5,1,0,6,13,10,3,4,4,2,54,0,0,0,0.45,0,0,9.8,2,1.6,0
9,2,1,9,25,4,4,5,6,0.625,103,1,2,0.666666667,0.35,1,5,10,3,1,2
11,3,0,4,15,35,1,4,10,0.2,62,1,0,0.795454545,0.590909091,2,5,4.545454545,1,0.8182,0
2,4,0,2,6,0,1,1,2,0,20,1,0,0.944444444,0.75,0,0,8.5,1,0.5,0
4,1,0,16,7,4,11,5,4,0.333333333,22,1,0,0,0.5,0,0,4.25,1,0.75,0
9,2,0,59,23,32,58,2,7,0.975,242,0.2,9,0.631578947,0.375,1,1,24.77777778,4,1.8889,0
5,2,0,7,13,0,2,5,4,0,65,1,1,0.692307692,0.45,1,1,11.8,1,0.8,0
22,1,0,39,59,231,24,15,21,2,358,0,0,0,0.333333333,0,0,15.27272727,4,1.4545,1
1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,1,1,0
3,1,0,2,7,3,2,0,2,2,22,0,0,0,0.444444444,0,0,6.333333333,1,0.6667,0
2,5,0,8,6,0,7,1,2,1,21,1,0,0.944444444,0.75,0,0,8.5,1,0.5,1
1,5,0,2,6,0,1,1,1,2,14,1,0,1,1,0,0,12,0,0,0
4,3,0,11,24,0,1,11,3,0.333333333,126,1,1,0.909090909,0.583333333,0,0,30,4,1.25,0
3,2,0,1,5,3,0,1,3,2,12,0,0,0.956521739,0.666666667,1,2,3,1,0.3333,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,0,0,10,18,4,1,9,3,0.666666667,81,1,0,0,0.4375,0,0,19,6,2.25,0
2,1,0,3,11,1,1,2,2,2,54,0,0,0,0.666666667,0,0,26,6,3,0
1,1,0,0,2,0,0,0,1,2,4,0,0,0,1,0,0,3,0,0,0
8,3,0,12,32,0,1,12,5,0.642857143,130,1,1,0.769230769,0.314285714,1,1,14.75,2,0.875,0
3,1,0,4,7,0,1,3,3,0,31,1,0,0,0.583333333,0,0,9,1,0.6667,0
4,3,2,7,14,6,2,5,0,2,61,0,0,0.869565217,0.4375,0,0,14.25,5,1.75,0
10,2,17,27,21,17,18,9,7,0.777777778,90,1,4,0.590909091,0.28,1,1,7.6,2,1.1,1
4,3,0,4,19,6,1,4,3,2,62,0,0,0.944444444,0.375,1,1,14.5,1,0.5,0
9,3,0,13,26,34,0,13,5,0.875,95,1,1,0.829268293,0.333333333,1,2,9.333333333,2,0.8889,0
6,3,0,7,13,3,1,6,4,0,46,1,1,0.782608696,0.375,1,1,6.5,1,0.8333,0
15,2,0,24,50,75,8,16,11,0.8,299,0.8,1,0.565217391,0.206349206,1,1,18.6,2,0.7333,2
2,1,0,3,3,0,1,2,2,0,12,1,1,0,0.75,0,0,4.5,1,0.5,0
2,3,0,3,4,1,0,3,2,2,11,0,0,1,0.833333333,0,0,4.5,0,0,1
16,4,0,17,29,72,7,14,16,0.813333333,150,0.8,0,0.682926829,0.21875,1,1,8.0625,1,0.8125,0
11,1,0,16,52,43,1,15,1,0.5,248,1,0,0.470588235,0.4,1,4,21.45454545,10,1.9091,0
3,2,0,1,5,3,0,1,3,2,12,0,0,0.956521739,0.666666667,1,2,3,1,0.3333,0
